rank,name,AUC,sensitivity,specificity,accuracy,precision,recall,f1_test,model,size,best_param,time
1,RandomForestClassifier,0.915529737510706,0.8771481653506735,0.8245816503173687,0.8499365245314017,0.8232943398968248,0.8771481653506735,0.8493684644503579,"RandomForestClassifier(max_features='sqrt', min_samples_split=0.01,
                       n_estimators=90, random_state=0)","[54025, 27122, 26782]","{'clf__max_features': 'sqrt', 'clf__min_samples_split': 0.01, 'clf__n_estimators': 90}",54.96760129928589
2,MLPClassifier,0.9150293694158734,0.8701037312277442,0.827466820542412,0.8480322604734524,0.8245305164319249,0.8701037312277442,0.8467043314500943,"MLPClassifier(hidden_layer_sizes=(5, 5, 5), learning_rate='adaptive',
              learning_rate_init=0.01, random_state=0)","[54025, 27122, 26782]","{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (5, 5, 5), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01}",25.680291414260864
3,GradientBoostingClassifier,0.9143934532633244,0.8883728131289673,0.8121032890940566,0.8488910462250765,0.8149989347347489,0.8883728131289673,0.8501055594651654,"GradientBoostingClassifier(max_depth=10, n_estimators=50, random_state=0)","[54025, 27122, 26782]","{'clf__max_depth': 10, 'clf__n_estimators': 50}",293.8047080039978
4,DecisionTreeClassifier,0.9140096656552713,0.8868245858492027,0.8083525678015003,0.8462026734373833,0.8117338623963721,0.8868245858492027,0.8476193999482077,"DecisionTreeClassifier(min_samples_split=0.01, random_state=0)","[54025, 27122, 26782]","{'clf__criterion': 'gini', 'clf__min_samples_split': 0.01}",2.1717519760131836
5,trainedall__GradientBoostingClassifier,0.912446209040879,0.8833410744697322,0.8144835545297172,0.8476962138749906,0.8160623614388901,0.8833410744697322,0.8483699490725253,"GradientBoostingClassifier(max_depth=10, n_estimators=50, random_state=0)","[766099, 383028, 26782]","{'clf__max_depth': 10, 'clf__n_estimators': 50}",4086.2501459121704
6,trainedall__MLPClassifier,0.911190351484221,0.8528409970583681,0.83799769186382,0.8451571951310581,0.8306567141672322,0.8528409970583681,0.8416026889729193,"MLPClassifier(hidden_layer_sizes=(5, 5, 5), learning_rate='adaptive',
              learning_rate_init=0.01, random_state=0)","[766099, 383028, 26782]","{'clf__activation': 'relu', 'clf__hidden_layer_sizes': (5, 5, 5), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': 0.01}",155.1805272102356
7,LogisticRegression,0.9000582829846786,0.8389843629044744,0.8341027120600115,0.8364573220819954,0.8249353021768915,0.8389843629044744,0.8319005219527172,"LogisticRegression(C=1e-05, max_iter=1000, penalty='none', random_state=123)","[54025, 27122, 26782]","{'clf__C': 1e-05, 'clf__penalty': 'none'}",2.5204567909240723
8,trainedall__RandomForestClassifier,0.8999010341720474,0.8471125561232389,0.8068378534333526,0.8262639085953252,0.8033918214521695,0.8471125561232389,0.8246731225743246,"RandomForestClassifier(max_features='sqrt', min_samples_split=0.01,
                       n_estimators=60, random_state=0)","[766099, 383028, 26782]","{'clf__max_features': 'sqrt', 'clf__min_samples_split': 0.01, 'clf__n_estimators': 60}",651.1485641002655
9,trainedall__DecisionTreeClassifier,0.8869584420688283,0.8798575630902616,0.7730092325447201,0.8245463370920768,0.7831599255839592,0.8798575630902616,0.8286974590791439,"DecisionTreeClassifier(min_samples_split=0.01, random_state=0)","[766099, 383028, 26782]","{'clf__criterion': 'gini', 'clf__min_samples_split': 0.01}",14.104953527450562
10,trainedall__LogisticRegression,0.8506257667990924,0.6819167053723486,0.8095787651471437,0.7480023896647001,0.7694121757358722,0.6819167053723486,0.7230270447736693,"LogisticRegression(C=10.0, max_iter=1000, random_state=123)","[766099, 383028, 26782]","{'clf__C': 10.0, 'clf__penalty': 'l2'}",24.469489812850952
